ID,System/Slice,Item,What parity requires,Current Everkai status,Source of truth,Numbers-or-Flow,Effort,Priority,Sprint,Status,Notes/Evidence
F12-02,Fellows,Artifact level cap is 20; the original s verified cap is 200,"Artifacts level to the original ceiling, funded by a coherent ore economy","ARTIFACT_CAP=20 (lib/artifacts.mjs). The per-level aptitude, per-level ore cost and recycle reward are ALREADY exact imports -- 84/84 against levelupConsume and 83/83 against smeltReward. Only the ceiling is local.",Equipment.json levelMax (200 on all 99 rows); EquipmentLevel coefficientADH,Numbers,S code / L economy,P1,2,Fixed 2026-09-15,"FIXED. ARTIFACT_CAP 20 -> the original levelMax 200. Per-level aptitude, ore cost and recycle were already exact imports, so only the invented ceiling moved; ore stays the limit (simulated 21 days: 97 upgrades, artifacts worth 3M of a 414M-Power roster, day-21 income unchanged at 478M gold/s). | [NEW] MEASURED 2026-09-13. Raising the cap is one constant and is backward compatible (validArtifacts bounds gearLevel <= ARTIFACT_CAP, so widening only accepts more). Measured gain on the full 154-Fellow ceiling: rosterOperation 138,699 -> 194,498 at cap 200 (+55,799, x1.402); village totalRate x1.724 on a 17-enterprise fixture. It does NOT close the power gap alone. CORRECTED 2026-09-12: that gap is 4.23x, not ~25x (see SL1-14), and measured against the true reachable 827,408 rather than against the fixture, raising the cap is worth +103,314. BUT the ore economy does not survive a naive raise: capping all 84 at 200 costs 1,004,950 ore against a measured ceiling of 85/day (60 perfect-habit + 20 banquet shop + 5 mine shop) = ~32 years, vs 1,129 days at cap 20. One artifact to 200 is 13,930 ore = 164 days, which is reasonable. So this is a BALANCE decision: raise and keep ore flat (artifacts become selective, not completionist), raise ore ~10x, partial raise, or leave. Calibration: a real original save holds 13,620 ore, top artifact level 104, and 89 of 97 artifacts still at level 1 -- level 200 is aspirational there too. Raising the cap would deliberately move the pinned 138,699 in tests/fellow-power.test.mjs."
F12-03,Fellows,Artifact quenching absent -- the largest artifact-side power lever,"Per-artifact quenching slots rolling riseADH, gated on country match","ABSENT as a mechanic, but NOT 'zero quench references in lib/' -- that was wrong. Item_Quenching_Equipment_1 is a real bag item (3 paid out by lib/opening-data.json, reaching the Bag via JOURNEY_ITEMS), and lib/opening.mjs has an openingReforge action that spends one for +1 Fellow Aptitude and counts it against the original's own EquipQuench Journey task. So the item, a faucet and a sink all exist; what is absent is the original's per-slot roll, keep-or-discard step, country gate and percent.",EquipmentQuenching / riseADH tables; equipment.py quenching handlers,Numbers,M-L,P2,2,Deferred 2026-09-15 - measured in full; shipping it needs a balance decision first,"[DEFERRED 2026-09-15] Measured in full and written up in docs/artifact-quenching.md -- implementing it later is transcription, not research. MEASURED: riseADH = 100 x row id, 100-2500; rows 1-4 carry weight 0 in every column and can never roll. Two pools -- Normal total weight 3,229,317, EV 724.73, min 500, P(2500) 8.1e-6; High total 41,300, EV 1,748.91, min 1500, P(2500) 0.01816. LevelWeight* equals QualityWeight* ELEMENTWISE across all 25 rows, so slot `source` changes nothing numerically. Slots per artifact 2-12 (quenchingSlotSetInitial), raised to 15 by quality on 85 of 99. Country gate is 1-in-5 and is re-rolled with the value. COST CORRECTION to this row's own earlier text: only the NORMAL track is paid in gold (item id 3 = Icon_Gold_Big), and it is the bad track -- 2.4x worse EV, and 621,022 expected rolls for a matched 2500 against 275 on High. HIGH is paid in Item_Quenching_Equipment_1 at a FLAT 1 per roll forever (System.EquipmentQuenchingConsumeHigh), so quenching is gated on an item supply after all, exactly like levelling is on ore. Everkai's MAX_GOLD of 1e15 is exhausted by Normal roll 441 on ONE slot. *** CEILING ARITHMETIC, WHY IT IS DEFERRED: measured by injecting a constant into bondedPower's percent group and re-reading Everkai's own rosterOperation on the SAME ceiling save (both halves from one source; the injection was a harness and is not in the shipped code). +0 = 6,965,719 (1.99x the original's 3,497,276); +12% (the original's own hero-1 value) = 7,457,172 (2.13x); +180% (the original's observed live-save MAXIMUM) = 14,337,523 (4.10x); +375% (15 slots x 2500, the config maximum) = 22,323,645 (6.38x). Everkai ALREADY overshoots by 1.99x, so shipping this at the original's own magnitude roughly doubles the overshoot again. RECOMMENDATION (rule 9, proceeding on it unless overruled): do not ship it as a percent lever; keep the openingReforge stand-in, which is the single-player-shaped version of the same sink; if quenching is wanted for itself, ship it deterministic and country-free -- N stones move one slot one step up the same 25-row ladder, with a per-Fellow cap set from the balance target rather than from 15 x 2500. The question measurement cannot settle, and the only one that reaches the owner: where should default mode's ceiling sit relative to 3,497,276?"
ECON-27b,Economy,"ECON-27 refined: one dead Echo is forgeable and visible, five are inert","Every shipped Echo can activate, or is not shippable","33 Echo records ship, 27 activate (artifact-echo.mjs:4 filters by fellowById). The six dead ones are NOT one shape.",lib/artifact-echo-data.json vs lib/catalog.mjs FELLOWS and GEAR,Flow,S,P2,2,Measured - not implemented,"[NEW] MEASURED 2026-09-13, refining ECON-27. Item_Weapon_Equipment_6_17 (hero_143, Milim Nava) IS in GEAR -- a player can forge it, equip it, and see an Echo panel that can never fire, because hero_143 is not among the 154 shipped Fellows. That is the user-visible bug. The other five (Demon Slayer collab 6_H264/H301/H302/H303/H304) are NOT in GEAR, so they are unequippable and inert data rather than a dead end. Fix is trivial data: ship hero_143 or drop the record. For scale, one enabled Echo is worth +119,961 to +185,894 power on a maxed Fellow -- more than all 19 artifact levels combined (+5,120); all 27 together are +3,923 rosterOperation."
BUG-19,Bugs,Museum and Clinic employee rates are transposed; one building pays two rates,Each business pays the original BuildingBase.yield.count per worker,TRANSPOSED. The original gives Building_901 (Museum) 20 and Building_1401 (Clinic) 50. lib/business-data.json has Museum 50 and Clinic 20. lib/employee-yield-data.json is correct (17/17).,BuildingBase.json yield.count (pin 147f9b73 matches),Numbers,S code / M test rebaseline,P1,1,Fixed 2026-09-14 (212ed3f),"FIXED. Re-verified 2026-09-15: business-data.json and employee-yield-data.json both give Museum 20 and Clinic 50, matching BuildingBase.yield.count; the importer no longer keys rates by name. | [NEW] MEASURED 2026-09-13. Root cause: scripts/import-businesses.py:10 is a hand-typed dict keyed by NAME, not id -- ""Curated numeric facts from Building_Operations, not downloaded code"" -- carrying Clinic:20. Re-running the importer reproduces the error. NOT an income exploit: both files hold the same multiset (sum 459), so total village income at equal staffing is unchanged; only the per-building split is wrong. PROVEN dual-rate: after opting into original progression and hiring one worker at the Museum, staffingYield is {retainedEmployees:100, retainedRate:50} while later hires pay sourceEmployeeYield 20 -- one building, two rates, via employeeIncome (lib/businesses.mjs:51). CORRECTED 2026-09-12: an earlier note here claimed tests/businesses.test.mjs:8 was blind because it sorts by rate. It does NOT sort -- it maps BUSINESSES in FILE ORDER against a rate-ascending literal, and lib/business-data.json is stored rate-ascending only because scripts/import-businesses.py:19 sorts before writing. An in-place value swap therefore DOES turn it red; a correct fix must move the two record blocks as well, or re-run the corrected importer, which reorders automatically. NOT LANDABLE AS A PURE DATA FIX. Measured by applying it in a throwaway copy: 7 assertions go red -- tests/businesses.test.mjs:6 and tests/employee-yields.test.mjs:13 (10060->4060), :14 (4500->10500), :16 (1000->625), plus three current-state tests in tests/known-defects.test.mjs which are part of the bug and get DELETED rather than rebaselined. tests/staffing.test.mjs stays fully green; the earlier note named it and was wrong. BLOCKER: validBusinesses (lib/businesses.mjs:44) pins a saved staffingYield.retainedRate against BUSINESSES[].employeeRate, so corrected data makes any save that hired at the Museum or Clinic under original progression fail valid(), and decode() throws Invalid business workforce -- live players on the deployed site. Needs a save migration (decode repair branch or SAVE_VERSION bump) first. Root cause killed in scripts/import-businesses.py:10 on 2026-09-12; the shipped data is still wrong on purpose until the migration lands."
C7-02,Minigames,Upgrading a kitchen station past level 15 is a downgrade,Station levels never reduce the gain they produce,"SILENT CLIFF. lib/inn-progression.mjs:7 does data.finesseByLevel[level-1] ?? 1, and finesseByLevel has 15 entries against a station cap of 20. Level 15 yields finesse 240; level 16 indexes [15] -> undefined -> falls back to 1.",lib/inn-progression-data.json finesseByLevel (15 rows) vs the level-20 station cap,Numbers,S,P2,4,Fixed 2026-09-12 (2a38610),"[NEW] 2026-09-13, established by reading the index expression, NOT by driving it -- an attempt to upgrade a station in a fresh save stopped at ""Serve guests for more blueprints"", so the level-16 behaviour is inferred from lib/inn-progression.mjs:7 rather than observed. popularity is worse: documented only at levels {1,2,5,6} per station, so 3, 4 and 7+ already yield 0. A report that all stations at level 20 leave 0 of 80 dishes producing finesse or popularity is UNVERIFIED here. LEAD-VERIFIED 2026-09-12, and this row is now a CORRECTION rather than the balance call stated here earlier. The original table SimGame1KitchenwareLevel.json holds 300 rows = 10 stations x 30 levels, and Everkai finesseByLevel IS that ladder truncated at 15: original station 1 reads 100,110,120,130,140,150,160,170,180,190,200,210,220,230,240,250,260,270,280,290,300,320,340,360,380,400,420,440,460,480 and Everkai ships exactly the first 15 of those -- an exact match on levels 1-15, verified by direct comparison, with 250 through 480 dropped. All ten stations share the identical ladder, confirmed. So the original cap is 30, not Everkai 20, and the field is the original proficiencyCount. The fix is to append the 15 known rows and raise the cap to 30; no value is invented. The upgrade COST ladder is recoverable too, from the same rows: consume carries Item_SimGame1_LvUp_Room counts starting 2 and running to 1400-1800, against Everkai blueprints = level. The level-16 cliff itself was also OBSERVED rather than inferred (station reached level 17, finesse fell 240 -> 1), closing this row's open caveat. Related: recipeStations maps only 9 of 80 dishes, while lib/inn-data.json already carries a real station per dish (75/80 map to stations 1-10) -- the data for a better mapping is already on disk. FIXED 2026-09-12 in commit 2a38610: finesseByLevel restored to the full 30-level original ladder, with the station cap raised 20 -> 30. The script ASSERTS before writing that all ten stations share an identical ladder and that the shipped 15 entries are exactly its first 15 -- both hold, which is what makes it a truncation to restore. Four ceilings moved together (int(l,20)->30, the level>=20 refusal and its message, and gains finesse 240->480; the last was needed even at cap 20 because restored levels 16-20 pay 250-290). Two revert sites also fixed: lib/inn-data.json sandbox.stationCap and scripts/import-inn.py:13 which generates it. Measured: L15 18,005 -> L16 18,755, where the cliff used to drop every dish to finesse 1."
BUG-20,Bugs,Workshop coin rewards are inflated x736 by a per-second misreading of a flat grant,Crafting a Workshop product pays the flat Forge Coin count the original grants,"INFLATED x736. lib/workshop.mjs:7 is `const coins=(p,j,seconds)=>Math.floor(seconds*p.coinsPerSecond*(10+(j.masteryTier||0))/10)`, so each product pays its coin value ONCE PER SECOND of batch duration. lib/workshop-data.json carries both coinsPerSecond and seconds per product (50 records).",Reward_SimGame2_Forge_01..10 flat Forge Coin grants; SG02Shop rows in data/ScoreExchange.json,Numbers,S code / M rebaseline,P1,4,Fixed 2026-09-13 (e2ae999),"[NEW] MEASURED 2026-09-12, re-verified 2026-09-12. Root cause: scripts/import-workshop.py:7 parses ""Sales Exp +(N), Workshop coin +(N)/sec, sales time (N) sec"" out of the original reward TEXT and stores the coin figure as coinsPerSecond. But the original Reward_SimGame2_Forge_01..10 grant FLAT Forge Coin counts of 12, 14, 20, 24, 30, 35, 45, 55, 75, 90 -- byte-identical to the ten distinct coinsPerSecond values shipped in lib/workshop-data.json, which is the proof the flat reading is the correct one. MEASURED: one craft of each of the 50 products pays sum(coinsPerSecond)=2,000 under the flat reading vs sum(coinsPerSecond*seconds)=1,472,100 as shipped -- exactly x736.0. CORROBORATION: SG02Shop (7 rows in data/ScoreExchange.json) prices a blueprint at 2,250, three limit-break crystals at 3,000 each, a universal hero piece at 20,000, a bond piece at 15,000 and a gacha token at 1,000 -- a shop that is coherent only under the flat reading and trivially farmed under the shipped one. This is a CORRECTION, not a balance decision: the original value is knowable. [RETRACTED 2026-09-12: the caveat below was drawn from a 51-file subset, not the 1,499-table config set -- see BUG-33.] INDEPENDENTLY CONFIRMED from the original own tables, which DO exist: SimGame2Forge (50 rows), SimGame2ForgeLevel (2000), SimGame2Evaluate (5) and split_reward/reward_simgame2.json (10 rows -- a BARE TOP-LEVEL LIST, which a wrapper-assuming counter reports as 0 rows, plausibly how it was called absent). Reward_SimGame2_Forge_01..10 are randomType Fix ONE-SHOT grants of Item_Token_SG2 (isCurrency true) in counts 12,14,20,24,30,35,45,55,75,90, referenced by SimGame2Forge.reward once per completed craft, while the SAME row carries time 300/480/600/780/900s. The original tier-1 rate is therefore 12 per 300s = 0.04/s against Everkai 12/s: 300x at tier 1, 900x at tier 10. The flat reading is now PROVEN by the reward table rather than inferred from matching values. Also newly recoverable for C8: craft materials (consume Item_SimGame2Forge_tier_1 and _2), the 10 tiers x 5 country type mapping, product levels via SimGame2ForgeLevel, and evaluation weights summing to exactly 10000 per product. Compounding it, restockWorkshop is free and unlimited (50 calls took supplies 20 -> 1,020 with a gold delta of 0). Related slice row: C8. Fix is to drop the `seconds*` factor in lib/workshop.mjs:7 and re-run the importer against the flat grants; expect a rebaseline of any test pinning workshop wallet figures. FIXED 2026-09-13 in commit e2ae999. EVERY NUMBER IN lib/workshop-data.json WAS ALREADY CORRECT -- only the field meaning and name were wrong, so nothing was renumbered: coinsPerSecond became coins, and the formula now takes units with seconds removed from the coin path entirely, so the bug cannot re-form by reintroducing a factor. Root cause killed upstream too: scripts/import-workshop.py parsed the original own English description (Workshop coin +12/sec), which is ITSELF WRONG -- the table grants 12 once. It now reads SimGame2Forge + reward_simgame2 and asserts coinsPerSecond never reappears and that the 50 products sum to 2,000. MEASURED AFTER: one craft of each of the 50 pays 2,000 (was 1,472,100); best sustained rate 360 coins/hour; Skill Pearl at 2,000 coins = 5.6 hours; the SG02Shop 282,000-coin full clear is ~32.6 days against 52 minutes before -- coherent against the shop rising prices and per-item limits, which is the real test that the rate is right. Eight assertions rebaselined (3,600->12; 120->0 since ten seconds completes no unit; 7,560->25 at mastery tier 1); two needed RESTRUCTURING rather than renumbering and are marked in place."
BUG-21,Minigames,"Inn recipeStations maps only 9 of 80 dishes, so 71 pay the fallback at every level",Every dish resolves to its station and earns that station-level finesse and popularity,INERT FOR 71 OF 80. lib/inn-progression-data.json recipeStations has 9 keys against 80 dishes; lib/inn-progression.mjs:7 reads an unmapped dish as station=undefined -> level=undefined -> finesseByLevel[NaN] -> undefined ?? 1.,SimGame1Food.json unlockCondition; lib/inn-data.json own station/level columns,Numbers,S,P1,4,Fixed 2026-09-12 (d5fbfda),"[NEW] FILED 2026-09-12 from a minigames measurement pass. Everkai-side figures RE-VERIFIED by the lead; original-side figures are agent-measured and NOT independently re-run. LEAD-VERIFIED: recipeStations has exactly 9 keys and inn-data carries 80 dishes. Agent-measured: at every station level 9 dishes have real finesse and 71 fall back to 1; at level 20 all 80 fall back. THE FIX DATA IS ALREADY ON DISK -- lib/inn-data.json station agrees with the original unlockCondition.id on 75 of 80 (0 disagreements; the other 5 are guest-gated), and level agrees on 75 of 80. Strictly LARGER than C7-02, which only bites past level 15. CORRECTION. Caveat: the original lets one dish be cooked at up to five stations, so a single-station map is already a simplification. FIXED 2026-09-12 in commit d5fbfda: recipeStations now maps all 75 station-gated dishes, derived from the station column of lib/inn-data.json and diffed against an independent derivation (identical, 75/75). Purely additive -- all 9 prior entries map to the same station, asserted in the script. The 5 guest-gated dishes (30,45,54,56,57) stay unmapped because the fallback is correct for them. Measured at station level 3: dishes earning real finesse 9 -> 75. Zero test fallout."
BUG-22,Minigames,"Inn popularity table has no station 10 at all, and only documents levels 1, 2, 5 and 6",Every station contributes popularity at every level it can reach,"ZERO FOR STATION 10 AT EVERY LEVEL. lib/inn-progression-data.json popularity has keys 1-9 only; stations are capped at 20 and popularity is documented only at levels {1,2,5,6} per station, so levels 3, 4 and 7+ already yield 0.",SimGame1KitchenwareLevel popularity columns,Numbers,S,P2,4,Fixed 2026-09-12 (9c30b91),"[NEW] FILED 2026-09-12 from a minigames measurement pass. Everkai-side figures RE-VERIFIED by the lead; original-side figures are agent-measured and NOT independently re-run. LEAD-VERIFIED: popularity keys are exactly [1..9] -- station 10 is absent outright, so it contributes 0 popularity at every level even after C7-02 and the recipeStations gap are fixed. Independent of both other Inn defects and needs its own fix. CORRECTION. FIXED 2026-09-12 in commit 9c30b91: popularity now carries all 10 stations x 30 levels (300 cells, was 36 with station 10 absent entirely). Derived by resolving SimGame1KitchenwareLevel[*].reward through split_reward/reward_simgame1.json to its Item_SimGame1_Score count -- all 300 resolve, no missing ids. THE CONTROL that makes the other 264 trustworthy: the same derivation reproduces all 36 previously-documented cells EXACTLY, 36/36. lib/inn.mjs:16 ceiling raised 34 -> 140 to match the measured peak, else legitimately-earned gains fail valid(). Measured per serving across ten stations: L7 0 -> 2,134 and L20 0 -> 5,147."
BUG-23,Minigames,A brand-new Inn starts with double the original stamina,An unrated Inn starts at the original level-1 energyLimit,"DOUBLE. lib/inn-progression.mjs:3 is data.ratingStamina[innRating(i)-1]||20, so an unrated Inn falls back to 20 where the original level 1 allows 10.",SimGame1Level.json energyLimit (row 1 = 10; rows 2-21 = Everkai ratingStamina),Numbers,S,P3,4,Fixed 2026-09-15,"FIXED 2026-09-15. RE-MEASURED SimGame1Level (21 rows): energyLimit is 10,20,30,40,50 then 60 for rows 6-21, and exp is 100,500,1200,...,50000000 for rows 1-20 with row 21 carrying NO exp at all -- so exp on row N is the cost to leave level N, Everkai rating R is original LEVEL R+1, and inn-progression-data.ratingStamina is exactly energyLimit rows 2..21 (asserted equal in the new guard). That leaves the UNRATED Inn with no row, and the old `||20` fallback filled the hole with the level-2 figure: double. Fixed by sourcing the unrated base from SimGame1Level row 1 (baseStamina 10) for both innStaminaCap and freshInn. ONLY the rating-0 case moves; every rating from 1 up already read the original ladder and is byte-identical. SAVE HAZARD HANDLED: this NARROWS a cap, so a real save written under the old build can hold 11-20 stamina that validInn would now refuse outright. lib/inn.mjs exports repairInn, called from repairSave in lib/game.mjs BEFORE decode's per-subtree guards (which throw), clamping over-cap stamina to the cap instead of refusing the save. Inert on any save at or under its cap; junk still reaches validInn and is still refused. No SAVE_VERSION bump: nothing new is required. MEASURED: freshInn 20 -> 10; a save at stamina 20 with popularity 0 now loads at 10 instead of throwing. Negative-controlled by deleting the repairSave call and confirming decode throws ""Invalid Inn service."" | PRIOR: [NEW] FILED 2026-09-12 from a minigames measurement pass. Everkai-side figures RE-VERIFIED by the lead; original-side figures are agent-measured and NOT independently re-run. LEAD-VERIFIED: ratingStamina ships as [20,30,40,50,60,60,...] -- it starts at 20. Agent-measured: the original energyLimit runs [10,20,30,40,50,60,60,...], so Everkai rating R corresponds to original level R+1 and the ladder is internally consistent under that renumbering (thresholds match exactly). THE CLAIM IS NARROW AND DELIBERATELY SO: only the rating-0 fallback is unambiguously wrong, 20 against 10. The renumbering itself is cosmetic. CORRECTION for the fallback only."
BUG-24,Minigames,"Fishing bait supply is 20-50x looser than the original, and the skill rank cap is 3 of 10","Bait storage, regeneration and skill ranks follow the original System.json constants",LOOSE. lib/fishing.mjs:11 STARTING_BAIT=20 and BAIT_REFILL_MAX=10; :28 caps bait at 1000; :68 caps skill rank at 3. The per-species EFFECT tables are faithful and need no change.,System.json FishBaitMax / FishBaitTime / FishBaitTimeMax / FishBookRank; RewardFishOpen,Numbers,S,P2,4,Fixed 2026-09-15 (bait); skill-rank cap remains local,"FIXED for bait: the daily allowance is the original 12 (FishBaitTime 7200 / FishBaitTimeMax 86400) and storage stops at FishBaitMax 50, paid through a finished daily habit rather than a timer. Measured over 21 simulated days (APK growth): 30/day gave 719M gold/s with the tank at 294M of 631M Power; 12/day with the local returns gives 477M/s and 89M of 414M. The skill-rank cap of 3 stays a local throttle (FishBookRank 10 is consumed by nothing). | CORRECTION 2026-09-15: 9736d05 raised the habit refill to 30/day on the stated premise that the original's bait sources were not in the tables read. That premise was wrong -- this row and System.json already held them, re-read: FishBaitTime 7200, FishBaitTimeMax 86400 (12/day), FishBaitMax 50, plus BaitNumber packs and FishBP bait. Everkai is now looser still (30/day refill plus a returned bait per new species and per third repeat). Pending: simulate the original regeneration and decide. | [NEW] FILED 2026-09-12 from a minigames measurement pass. Everkai-side figures RE-VERIFIED by the lead; original-side figures are agent-measured and NOT independently re-run. Agent-measured against System.json: bait storage cap 50 vs Everkai 1000 (20x), starting bait 15 vs 20, and regeneration 1 per 7200s accruing to a 12/day ceiling vs a free daily habit refill of 10. THE SKILL-RANK-CAP LINE IS RETRACTED: this row previously read 3 against an original 10. FishBookRank 10 appears in System.json and NOWHERE ELSE across all 1,499 tables -- nothing consumes it -- and the species skills carry maxUpgradeLevel 99999999 for 86 of 87. Everkai cap of 3 is still a local throttle, but 10 must NOT be cited as the original cap. The bait figures stand. EFFECTS UPGRADED FROM COMMUNITY TEXT TO THE ORIGINAL TABLE: all 86 records compared against SkillBase skillProp_Initial and skillProp_Level give 70 MATCH, 0 MISMATCH, and 16 unparsed percent-shaped strings that inspect as consistent. Effects are CLEAN. COMPOUNDING FREE ACTION: a new species refunds its bait (lib/fishing.mjs:59), so 116 casts came out of a 20-bait start and the whole 86-species encyclopedia is reachable in one sitting for nothing. CORRECTION for the supply constants; the effect tables stay as they are."
BUG-25,Minigames,"Treasure stamina is 12 per day against the original 150, with a cap of 12 against 300",Steeltooth stamina uses the original RelicTools constants,THROTTLED 12.5-25x. lib/treasure.mjs:10 grants stamina 12 and :11 validates it at a ceiling of 12.,"System.json RelicToolsInitial [100,0,0] / RelicToolsDayReward [150,1,0] / RelicToolsLimit [300,5,5]",Numbers,S,P1,4,Fixed 2026-09-15,"FIXED to the original constants: 100 stamina to start, 150 added each day, held to 300 (System.json RelicToolsInitial/DayReward/Limit). Simulated 21 days (APK growth, earned): day-21 income 477M -> 478M gold/s, because one 12-tile trip a day never spent the old 12 either -- the throttle was on trips, not income. | [NEW] FILED 2026-09-12 from a minigames measurement pass. Everkai-side figures RE-VERIFIED by the lead; original-side figures are agent-measured and NOT independently re-run. Agent-measured: the triple reads as [stamina, bombs, big bombs], corroborated by RelicAutoBombReturn 9 and RelicAutoBigBombReturn 20. Everkai grants 12/day against 150, caps at 12 against 300, and has no equivalent of the 100 initial. Measured consequence: 12 digs per day, and 1,208 days of perfect play to fully restore the obtainable relics. This SOURCES the 150/300 figure that catalog row E3 previously only asserted. CORRECTION. RETRACTED 2026-09-12, wrong twice over: RelicLottery is NOT absent, and it is NOT the dig board. It is a GACHA template -- 46 rows in CommonGachaLottery keyed templateId RelicLottery, plus a RelicCommonLottery gacha, a RelicLotteryShop and System.json RelicGachaActivityID. THE REAL DIG BOARD is RelicMap (8 rows) + CellPool (127) + GemBall (29) + GemGacha (147): Map001 carries MapRate 70, GemBallNum 4, CellNum [100,130,300] and SubareaGemBallWeight [300,1500,3200]. So lib/treasure.mjs tileGem = i=>i%3===2 over a 12-tile board is refuted by real data -- the original is a 100-300 cell weighted grid with gem-ball placement rules. CORRECTION available, but a large rebuild. Also recovered: RelicSkill (23 rows) giving DigHardnessLv 1-3, RelicBagMax 15->300 and PickaxeATK 100->810. The stamina figures in this row stand unchanged."
BUG-26,Minigames,22 of 45 shipped relics can never be obtained,Every shipped relic is reachable from some appraisal pool,FIXED 2026-09-15. All three gem grades per region are imported and every one of the 45 shipped relics is obtainable through real appraisals; the two multi-part exhibits assemble from their pieces.,RelicMap.json GemBall (3 per map) -> GemBall.json Pool -> GemGacha.json (147 rows) -> split_reward/reward.json; RelicLevel.json GemBall1/2/3; ExhibitPart.json,Flow,S,P2,4,Fixed 2026-09-15,"MEASURED AND IMPLEMENTED 2026-09-15; the earlier diagnosis was right and is now built. Everkai modelled ONE gem grade per area (GemBall101/201/301/401), reaching 23 of 45 relics. Every RelicMap Type-1 row lists THREE GemBall grades (Map001 -> GemBall101/102/103) and each has its own GemGacha pool. Importing all twelve pools gives per-area unions of 12/23/24/24 and a global union of 43 drawable ids = 34 whole exhibits + 9 SimGame5Part pieces; 2501 Ladon's Skeleton and 2901 Ancient Golden Mural are never drawn, they assemble from 6 and 3 pieces (ExhibitPart.exhibitID). 43 + 2 = 45, matching Everkai's shipped set EXACTLY with zero orphans and zero reachable-but-unshipped ids. WHICH GRADE YOU DIG comes from RelicLevel.json, which was the missing link: GemBall1/2/3 are per-Steeltooth-level weights out of 10000, 7675/2325/0 at level 1 rising to 4400/4500/1100 at level 30, with grade 3 locked to zero below level 8 -- so the nine part pieces, which sit only in grade-3 pools, are genuinely late-game. ADAPTATION: Everkai rolls the grade at appraisal rather than at map-spawn time. For a fixed Steeltooth level the distribution is identical and it needs no save-shape change, so no existing save breaks. VERIFIED BY PLAY, not by inspection: driving 800 real treasureAppraise actions per region at Steeltooth level 41 yields all 45 distinct relics including both assembled exhibits, and the resulting save passes valid() and round-trips through decode(). A level-2 Steeltooth driven 600 appraisals in Relic002 finds zero part pieces, confirming the grade-3 lock. Guards in tests/treasure.test.mjs, negative-controlled by deleting a grade (fails ""must carry all three GemBall grades""), by removing 1403 from every pool (fails the 43-drawable count) and by editing a RelicLevel weight row."
BUG-27,Minigames,Treasure restoration pays an invented flat +1 gold/s per level,Restoration income derives from the original relic effects,FIXED 2026-09-15 for the invention. Restoration mints no gold at all; it raises the exhibit's own levelUpSkill. 8 of the 36 non-part relics map onto museumBonus aptitude; the other 28 record their exact original prop and say in the data why Everkai cannot route it yet.,Exhibit.json levelUpSkill / levelUpMaxLevel; SkillBase Skill_SimGame5_* (112 rows); LevelUpType ExhibitLvUp (119 steps); MuseumLevel (41 rows),Numbers,M,P2,4,Fixed 2026-09-15 (invention removed); 28 relic props recorded but unrouted,"MEASURED AND IMPLEMENTED 2026-09-15. WHERE EACH HALF CAME FROM, per CLAUDE.md rule 1: the old +1 gold/s had NO original half at all -- it was Everkai-side only. The original's museum pays hourly in Item_ExhibitEXP_1/2/3 (MuseumLevel.json 41 rows -> rewardHour -> split_reward/reward.json Reward_MuseumLv0..50, e.g. Lv1 = 50 Item_ExhibitEXP_1), never gold, so there is no gold-per-second figure in the original to copy and the right fix is to stop paying gold, not to pick a better number. What a restored exhibit actually pays is its own Exhibit.levelUpSkill prop from SkillBase: across the 36 non-part relics that is atk/extradd 19, talent 8, yield/percent 5, factionGraduateProsperity/extradd 2, intimacy 1, charm 1. Value = skillProp_Initial + (exhibitLevel-1) x skillProp_Level, and an exhibit is level 1 the moment it is obtained, so a displayed unrestored relic already pays skillProp_Initial. ROUTED: the 8 talent relics (2403-2408 at 8 +1/level, 2501 at 45 +3/level, 2901 at 20 +1/level) feed museumBonus.aptitude -- relics are Hall 5/6 exhibits of the same museum, and Rule SimGame5_11 says they pay ""once on display"", so unlike Hall 1 keepsakes they stop paying when stored. MEASURED CEILING: +113 aptitude on display alone, +313 with all eight fully restored (Everkai caps aptitude at 1000). NOT ROUTED, and recorded verbatim in lib/treasure-data.json with an effectNote rather than approximated: atk/extradd needs a flat-power bucket on museumBonus, which lives in lib/adventure.mjs bondedPower; yield/percent on city needs lib/game.mjs totalRate to take a multiplier; intimacy, charm and factionGraduateProsperity have no Everkai stat. Both blocked files are outside this slice's edit boundary. ADAPTATIONS, both recorded in the data file: Everkai keeps its 20-step ladder at level+1 duplicate materials rather than the original's 120 steps priced in ExhibitEXP (187,200 / 156,800 / 117,600 materials to max one exhibit is unreachable from Everkai's faucets); and the original's country/rarity targetConditions are applied to every Fellow because Everkai models neither -- the condition is preserved per relic under effectSource.condition. SAVE SAFETY: restoration receipts are now policyVersion 2 with no goldPerSecond, while legacy policyVersion 1 receipts stay valid and keep paying their stored gold, so no existing save loses income. Guards in tests/relic-restoration.test.mjs, negative-controlled by deleting an effectNote and by editing a modelled relic's numbers."
